,course_level,course_rating,course_title,course_type,link,skills
172,beginner,4.7,camino a la excelencia en gestión de proyectos,['course'],httpswwwcourseraorglearncaminoexcelenciagestionproyectos,lean project management value stream mapping lean manufacturing legal project management
173,beginner,4.7,managing innovation and design thinking,['specialization'],httpswwwcourseraorgspecializationsmanaginginnovationdesignthinking,brainstorming design thinking methodology prototyping creative confidence problem solving
174,beginner,4.8,music production,['specialization'],httpswwwcourseraorgspecializationsmusicproduction,audio recording music music production sound design audio editing
175,intermediate,4.8,power electronics,['specialization'],httpswwwcourseraorgspecializationspowerelectronics,power electronics
176,intermediate,4.9,convolutional neural networks,['course'],httpswwwcourseraorglearnconvolutionalneuralnetworks,facial recognition system tensorflow convolutional neural network artificial neural network
177,intermediate,4.7,business english communication skills,['specialization'],httpswwwcourseraorgspecializationsbusinessenglish,business plan english language meeting presentation
178,beginner,4.7,habilidades gerenciales,['specialization'],httpswwwcourseraorgspecializationshabilidades,delegation leadership coaching supervision
179,beginner,4.7,effective communication writing design and presentation,['specialization'],httpswwwcourseraorgspecializationseffectivebusinesscommunication,business writing presentation graphic design writing
180,beginner,4.8,the business of music production,['specialization'],httpswwwcourseraorgspecializationsbusinessmusicproduction,copyright music production contracts pro tools music recording
181,beginner,4.8,modern big data analysis with sql,['specialization'],httpswwwcourseraorgspecializationsclouderabigdataanalysissql,cloud storage data analysis big data cloudera sql
182,beginner,4.7,camino a la excelencia en gestión de proyectos,['course'],httpswwwcourseraorglearncaminoexcelenciagestionproyectos,lean project management value stream mapping lean manufacturing legal project management
183,beginner,4.7,managing innovation and design thinking,['specialization'],httpswwwcourseraorgspecializationsmanaginginnovationdesignthinking,brainstorming design thinking methodology prototyping creative confidence problem solving
184,beginner,4.8,music production,['specialization'],httpswwwcourseraorgspecializationsmusicproduction,audio recording music music production sound design audio editing
185,intermediate,4.8,power electronics,['specialization'],httpswwwcourseraorgspecializationspowerelectronics,power electronics
186,intermediate,4.9,convolutional neural networks,['course'],httpswwwcourseraorglearnconvolutionalneuralnetworks,facial recognition system tensorflow convolutional neural network artificial neural network
187,intermediate,4.7,business english communication skills,['specialization'],httpswwwcourseraorgspecializationsbusinessenglish,business plan english language meeting presentation
188,beginner,4.7,habilidades gerenciales,['specialization'],httpswwwcourseraorgspecializationshabilidades,delegation leadership coaching supervision
189,beginner,4.7,effective communication writing design and presentation,['specialization'],httpswwwcourseraorgspecializationseffectivebusinesscommunication,business writing presentation graphic design writing
190,beginner,4.6,bioinformatics,['specialization'],httpswwwcourseraorgspecializationsbioinformatics,whole genome sequencing viterbi algorithm suffix tree python programming algorithms unweighted pair group method with arithmetic mean upgma bioinformatics
191,beginner,4.6,using python to interact with the operating system,['course'],httpswwwcourseraorglearnpythonoperatingsystem,setting up your development environment regular expression regex testing in python automating system administration tasks with python bash scripting
192,intermediate,4.6,organizational leadership,['specialization'],httpswwwcourseraorgspecializationsorganizationalleadership,design leadership negotiation leadership marketing
193,beginner,4.7,photography basics and beyond from smartphone to dslr,['specialization'],httpswwwcourseraorgspecializationsphotographybasics,social media photography copywriting writing
194,mixed,4.8,private equity and venture capital,['course'],httpswwwcourseraorglearnprivateequity,valuation finance venture capital venture capital financing private equity
195,beginner,4.7,biostatistics in public health,['specialization'],httpswwwcourseraorgspecializationsbiostatisticspublichealth,statistics statistical hypothesis testing variability regression
196,intermediate,4.7,learn english intermediate grammar,['specialization'],httpswwwcourseraorgspecializationsintermediategrammar,english grammar perfect tenses english language adjective
197,beginner,4.3,marketing strategy,['specialization'],httpswwwcourseraorgspecializationsmarketingstrategy,marketing plan market research positioning marketing value proposition
198,mixed,4.5,the data scientists toolbox,['course'],httpswwwcourseraorglearndatascientiststools,data science github r programming rstudio
199,intermediate,4.7,fundamentals of immunology,['specialization'],httpswwwcourseraorgspecializationsimmunology,fundamentals of immunology
200,mixed,4.8,psychological first aid,['course'],httpswwwcourseraorglearnpsychologicalfirstaid,reflective listening active listening crisis intervention psychological first aid
201,beginner,4.8,anatomy,['specialization'],httpswwwcourseraorgspecializationsanatomy,anatomy
202,advanced,4.5,advanced machine learning with tensorflow on google cloud platform,['specialization'],httpswwwcourseraorgspecializationsadvancedmachinelearningtensorflowgcp,advanced machine learning with tensorflow on google cloud platform
